Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved
80,2,1337.067862183172,166.53145392418327,47.110666666662596,3.0,5.2,199.26666666666665,192.90699999999634,0.0
81,2,1462.8180090171002,126.91256432730566,61.42233333333009,5.0,4.266666666666667,260.4666666666667,140.1989999999958,0.5
82,2,1531.8327090217165,132.85455489380044,63.602999999996925,4.0,4.199999999999999,285.9666666666667,152.3579999999936,0.0
83,2,1365.9757176913029,171.710030559843,59.451999999996545,3.5,5.233333333333333,248.06666666666666,207.57999999999544,0.0
84,2,1545.621418922152,175.63040088361677,81.61499999999633,1.0,5.6,372.23333333333335,196.89399999999688,0.0
85,2,1416.2453132167875,163.254987957792,53.39666666666289,2.0,5.066666666666666,223.7,192.28999999999616,0.0
86,2,1460.1381247057313,178.11987196705226,70.15933333332967,1.5,5.533333333333333,305.43333333333334,207.7209999999966,0.0
87,2,1393.5074185186857,144.08885342089854,48.10366666666313,4.5,4.5,212.9,168.68999999999437,0.0
88,2,1481.337830454545,163.60835550009648,68.0903333333292,2.0,5.0,280.59999999999997,196.30099999999473,0.0
89,2,1506.5283685617476,151.5307737397972,62.03599999999683,3.0,4.633333333333333,281.9666666666667,182.3209999999957,0.0
90,2,1449.6343168683868,167.3611894384025,64.46366666666249,1.5,5.199999999999999,244.26666666666668,195.30099999999578,0.0
91,2,1563.8837397438513,158.91482170795655,79.92733333332902,1.5,4.833333333333334,306.06666666666666,192.86099999999573,0.0
92,2,1303.2691185750193,185.92942332175517,57.74633333332916,3.5,5.666666666666667,257.1666666666667,223.33699999999678,0.0
93,2,1381.2124109005701,185.31943055515768,79.78633333333039,4.0,5.733333333333333,343.9333333333333,218.30899999999684,0.0
94,2,1475.771064400533,169.46708595190753,66.8983333333294,1.5,5.199999999999999,265.1666666666667,202.1179999999969,0.0
95,2,1451.407137754695,162.01605002635768,62.49399999999548,2.5,4.833333333333334,247.86666666666667,201.07399999999515,0.0
96,2,1696.8925430491738,142.3853016882592,84.05366666666305,2.5,4.333333333333334,397.8333333333333,171.83299999999508,0.0
97,2,1610.6641282799014,125.79253330591892,63.642999999995524,2.0,3.866666666666667,245.56666666666666,151.50999999999365,0.0
98,2,1447.5376631561164,136.04278830442232,56.6216666666633,5.0,4.2,252.13333333333333,160.99799999999428,0.0
99,2,1278.4493909291407,150.65531965207654,48.12599999999633,5.5,4.8,187.66666666666669,169.45099999999474,0.0
100,2,1607.0239353022191,130.13256405044268,64.1596666666634,3.5,4.1,325.3,149.79399999999424,0.0
101,2,1576.8882281574624,94.80183976260223,48.06933333333025,5.0,3.2,235.5,108.40499999999474,0.5
102,2,1687.9088085581927,101.20297112988119,59.18333333333018,3.5,3.3,287.1333333333333,121.99599999999356,0.5
103,2,1498.3629742812766,109.85618906818742,45.13966666666322,5.5,3.5666666666666664,228.06666666666666,132.15899999999453,0.5
104,2,1563.5382241723908,133.0792988367317,65.02899999999606,2.5,4.4,286.33333333333337,152.0339999999951,0.5
105,2,1465.0704225685565,157.596953650564,66.93999999999642,3.5,4.833333333333333,291.9,188.69899999999433,0.0
