Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
62,2,1136.5210723361238,207.15646614592313,42.13699999999564,1.5,6.6,172.8,229.90699999999873,0.0,3.5,913.5
63,2,1206.7969702269254,185.30313715405083,44.78866666666207,3.0,5.866666666666667,177.5,208.53299999999757,0.0,3.0,900.0
64,2,1149.581307421029,192.89082923597866,30.69599999999572,2.5,6.133333333333333,140.0,215.50899999999743,0.0,3.0,833.5
65,2,1170.8221523203938,190.43885170330753,39.595999999995996,3.5,5.9,166.53333333333333,223.52799999999672,0.0,3.0,900.0
66,2,1099.8278965268867,217.81834492566654,39.72399999999565,1.0,7.0,167.2,238.0599999999984,0.0,3.5,1028.0
67,2,1016.3478847076801,213.4266347007094,32.099999999995816,3.5,6.800000000000001,140.0,238.25499999999818,0.0,3.0,844.5
68,2,1152.2247260660797,205.43435136576443,39.058333333328875,2.0,6.433333333333334,163.96666666666667,234.01399999999776,0.0,3.0,900.0
69,2,1125.177522809303,199.53237329256115,29.044999999995895,2.0,6.3,135.1,226.28099999999756,0.0,2.5,750.0
70,2,1167.6597120618544,197.49898220826273,36.35599999999597,2.0,6.166666666666666,160.43333333333334,226.24999999999804,0.0,3.0,881.0
71,2,1178.8983023332753,180.5683262183032,37.89766666666255,4.0,5.666666666666667,163.33333333333331,206.801999999996,0.0,3.5,927.0
72,2,1067.1032262112267,199.41859376234711,31.762999999995948,3.5,6.333333333333333,140.0,222.9319999999978,0.0,3.0,812.0
73,2,1201.551524412866,175.83175768043958,33.003999999995884,3.5,5.4,141.53333333333333,208.87999999999636,0.0,3.0,792.0
74,2,1208.730172900099,198.44907206629938,46.26999999999557,2.5,6.066666666666666,184.8,234.6529999999978,0.0,3.5,914.0
75,2,1159.962762878071,207.01911577632788,45.155999999995586,2.0,6.566666666666666,186.66666666666666,230.43499999999818,0.0,4.0,1042.0
76,2,1044.9752772205973,205.14955037494184,37.65933333332904,4.0,6.6,157.43333333333334,222.82899999999864,0.0,3.0,900.0
77,2,1043.2049771048655,211.97526067138813,41.22099999999542,2.5,7.033333333333333,168.5,218.21099999999848,0.0,3.5,903.5
78,2,1274.7279357675818,157.18403672894968,39.1686666666626,4.0,5.066666666666666,163.33333333333331,182.1579999999969,0.5,3.5,827.0
79,2,1114.4289786443867,212.97951357599507,45.5693333333288,3.0,6.7,182.83333333333331,241.2759999999991,0.0,3.5,903.5
80,2,940.857572372102,226.86655880356545,43.7479999999959,3.0,7.666666666666667,182.9,225.24299999999886,0.0,3.5,1050.0
81,2,1241.754143039561,180.76555172299797,43.69566666666283,2.5,5.7,179.06666666666666,205.042999999997,0.0,3.0,900.0
82,2,1096.4341007835892,201.39742294132006,38.599999999996,4.5,6.266666666666667,164.13333333333333,232.84699999999862,0.0,3.0,900.0
83,2,1199.1507091516678,189.11793864408358,38.51266666666275,3.5,5.866666666666667,165.16666666666666,219.89799999999704,0.0,3.5,916.5
84,2,1145.315224585506,178.9641976324405,32.69499999999641,4.5,5.6,145.73333333333335,205.81999999999624,0.0,3.0,888.5
85,2,1228.8223273040735,179.93846223573757,39.673999999996276,3.5,5.633333333333333,166.56666666666666,206.50099999999742,0.0,3.0,900.0
86,2,1153.5145092068371,180.31872538383035,34.9436666666625,3.5,6.066666666666666,152.83333333333331,182.02699999999658,0.0,3.0,868.5
87,2,1139.937847107497,197.74731787349364,46.89733333332933,3.0,6.4,186.66666666666666,214.74599999999737,0.0,4.0,938.0
88,2,1017.8451863564723,215.46965029438695,36.85766666666218,2.5,7.066666666666666,154.63333333333333,227.6439999999971,0.0,3.0,900.0
89,2,1087.2433815378643,204.9183612103175,41.267333333329496,3.5,6.533333333333333,178.63333333333333,229.5279999999981,0.0,3.0,900.0
