Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
27,2,915.7044089220569,212.23438452786877,14.527999999996577,4.5,6.966666666666667,88.6,228.34099999999836,0.0,3.0,1200.0
28,2,817.5574682988953,232.4439868591341,17.632666666663084,4.0,7.933333333333334,100.93333333333334,229.34499999999753,0.0,3.5,1267.0
29,2,1082.0520948453443,163.93403144474408,14.883333333329839,6.0,5.2,81.46666666666667,189.8529999999957,0.0,3.0,1200.0
30,2,918.0279638825394,197.4350243955276,17.472666666663148,5.0,6.733333333333333,93.33333333333334,199.3609999999976,0.0,3.5,1184.5
31,2,1088.521266908446,191.8571489306059,19.81533333332971,3.5,6.266666666666667,106.66666666666667,212.76699999999755,0.0,4.0,1302.0
32,2,1374.8219210303682,124.79253241495992,20.513333333329655,4.0,4.166666666666667,106.66666666666667,136.54599999999596,0.0,4.0,1340.5
33,2,1495.1102164778729,67.16780859771671,18.964666666663156,6.0,2.566666666666667,93.33333333333334,77.99599999999361,1.0,3.5,1197.0
34,2,1408.096694379508,84.51685994301907,19.503666666663054,7.0,3.033333333333333,94.43333333333334,101.6969999999954,1.0,3.5,1300.5
35,2,1457.5533388365516,88.91629404293323,22.919333333329636,5.0,3.1333333333333337,106.66666666666667,109.3919999999946,1.0,4.0,1328.5
36,2,1496.3709215819695,43.220967834083254,20.662666666663018,8.0,1.9333333333333333,89.33333333333334,43.991999999994135,1.0,3.0,1156.0
37,2,1466.5587461475066,78.94097680915681,18.606666666663237,6.0,2.8,93.33333333333334,89.79799999999395,0.5,3.5,1053.0
38,2,1462.6510376939966,79.45688974945678,20.60966666666305,6.0,2.9,100.03333333333333,94.93099999999465,1.0,3.0,1200.0
39,2,1416.9658070812736,99.93530535105425,18.48933333332971,6.0,3.2666666666666666,95.26666666666667,123.99199999999361,0.5,3.5,1287.5
40,2,1444.5806169305195,91.66326688131976,18.886333333329663,6.0,3.166666666666667,98.36666666666667,114.76699999999445,1.0,3.5,1244.0
41,2,1324.7932983806058,104.12194039963589,16.36366666666307,7.0,3.4,83.83333333333334,118.66499999999431,0.0,3.0,1127.5
42,2,1537.3540589284344,69.73980889041228,18.092666666663106,5.5,2.5666666666666664,94.93333333333334,75.9979999999936,0.5,3.0,1200.0
43,2,1586.8595831164837,62.78010158274973,21.30166666666328,4.5,2.4333333333333336,106.66666666666667,73.99199999999402,1.0,4.0,1350.5
44,2,1442.8316508868215,77.3431483668604,19.154666666662955,6.5,2.7666666666666666,93.33333333333334,87.99799999999355,0.5,3.5,1250.0
45,2,1554.044530442832,51.44892663160858,23.67733333332964,7.0,2.1999999999999997,107.06666666666666,63.987999999994294,1.5,4.0,1537.0
46,2,1329.985521757453,64.79584548234094,14.527999999996812,9.0,2.533333333333333,69.4,83.98799999999423,1.5,2.5,903.0
47,2,1564.4799045526818,5.147180010607764,22.044666666663254,9.0,1.2333333333333334,93.33333333333334,13.979999999994996,3.0,3.5,1284.5
48,2,1644.1728676644664,26.704147357540105,17.614333333330052,6.0,1.5666666666666667,93.33333333333334,37.97599999999465,2.0,3.5,1346.0
49,2,1683.8835522895527,-7.52430971953975,20.483666666663318,7.0,0.8666666666666667,93.23333333333333,17.953999999996114,4.0,3.0,1200.0
50,2,1532.5011218699385,27.759514574527305,14.368999999996678,7.5,1.7333333333333334,75.7,39.98399999999466,2.5,2.5,858.5
51,2,1630.0447128461922,32.24413212111174,22.903666666663128,6.0,1.8666666666666667,106.66666666666667,35.99599999999424,2.0,4.0,1531.5
52,2,1532.6220446517223,45.85420913143153,16.353666666663322,6.0,2.033333333333333,82.63333333333333,65.97599999999503,2.0,3.0,1066.0
53,2,1548.006500585644,22.092952547525517,15.696333333330102,8.5,1.5333333333333332,80.7,45.96599999999522,3.0,3.0,1020.0
54,2,1655.448250252263,25.645562069612353,26.6429999999962,6.0,1.6,114.69999999999999,41.97399999999495,2.5,3.5,1400.0
55,2,1655.0976725647204,-6.004134120091446,20.05299999999652,7.5,1.0666666666666667,93.33333333333334,9.97399999999536,4.0,3.5,1158.5
56,2,1570.2330439351097,24.38139119150095,22.449333333329946,7.0,1.7,100.5,33.98799999999435,2.5,3.0,1200.0
57,2,1480.4579831995918,48.18715924276973,17.505666666663537,7.5,2.0666666666666664,85.9,51.99199999999387,1.0,3.0,1137.5
58,2,1460.292333690826,54.102426842537405,16.099999999996736,7.5,2.2333333333333334,80.0,71.98199999999434,1.5,3.0,1036.5
59,2,1451.6205948753625,91.83456346836746,20.27033333332976,5.5,3.1333333333333337,101.36666666666667,111.99599999999346,0.5,3.5,1310.0
60,2,1602.156361445665,1.7003435239906604,21.554333333330057,8.5,1.2666666666666666,101.4,13.981999999994978,3.5,3.5,1221.0
61,2,1467.011100839254,63.01702940636131,17.49433333333004,6.0,2.5999999999999996,93.23333333333332,79.41399999999445,1.5,3.0,1200.0
62,2,1443.3591284888005,18.586045914937827,12.048333333330325,10.0,1.4666666666666668,64.73333333333333,23.9839999999946,2.0,2.0,800.0
63,2,1565.149757901305,22.954284642797962,13.887333333330254,7.5,1.7,80.16666666666666,31.98999999999433,2.5,3.0,1186.0
64,2,1479.2278900394247,44.84984014551166,20.9489999999966,8.0,2.166666666666667,93.96666666666667,49.999999999993946,1.5,3.5,1341.5
65,2,1584.6209063526674,21.068920404698265,15.58599999999657,7.0,1.5,80.0,27.98199999999476,2.0,3.0,1119.0
66,2,1488.5056357052426,7.067029308533735,19.541333333330233,10.0,1.2333333333333334,87.1,21.971999999995116,3.0,3.0,1013.0
67,2,1526.525278991422,-8.445160823342018,16.844999999997036,10.0,0.9333333333333333,72.53333333333333,13.961999999995975,4.0,2.0,800.0
68,2,1719.6915503791379,-23.728996165492813,21.566999999996664,8.5,0.5333333333333333,98.53333333333333,1.9499999999963575,4.5,3.5,1334.5
69,2,1566.5473115370792,-4.998215467562296,19.688666666663714,9.5,1.0,89.3,21.957999999995806,4.0,3.0,1038.5
70,2,1707.2374651571788,7.471978153074015,22.818999999996187,6.5,1.3666666666666667,107.3,23.977999999995127,3.5,3.5,1400.0
71,2,1426.7031779158567,11.258482646400092,10.014333333330365,10.5,1.3666666666666667,53.333333333333336,25.975999999995054,3.0,2.0,761.5
72,2,1761.8972990471918,-9.85744384036647,26.397999999996195,6.5,0.8333333333333333,113.2,13.955999999996129,4.0,4.0,1547.0
73,2,1380.2959844122565,19.08557123444923,13.16866666666363,11.0,1.5333333333333332,58.8,27.9839999999949,2.5,2.0,679.0
74,2,1623.5757335314956,14.514469326849017,20.30899999999671,7.5,1.3333333333333335,96.6,25.973999999994852,2.5,3.5,1264.0
75,2,1702.4791129131233,9.366614503174308,18.428999999996222,6.5,1.2666666666666666,94.3,23.97199999999538,3.0,3.5,1332.0
76,2,1620.1683083683486,19.10956540835773,21.415333333330036,7.5,1.3333333333333335,96.0,37.96199999999525,2.5,3.5,1371.0
77,2,1475.0038162086928,40.26830409257284,16.859999999996592,8.5,1.9666666666666668,80.6,43.99399999999403,1.5,3.0,1079.0
78,2,1396.4834596642172,45.24392410431689,13.207666666663446,9.0,2.1,67.9,59.98599999999442,2.0,2.5,1000.0
79,2,1578.4874844694593,35.6912729951118,19.935999999996483,6.5,1.8333333333333335,94.4,37.99199999999408,1.5,3.5,1221.0
