Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved
34,2,1340.6140667376405,104.03486204544804,25.19599999999651,6.0,3.5999999999999996,116.23333333333332,121.34899999999452,0.5
35,2,1327.2926361922882,117.34231525226218,33.26399999999656,6.5,3.8333333333333335,140.4,134.59199999999498,0.0
36,2,1185.8196000001133,142.13789462980884,33.110999999996196,6.0,4.766666666666667,135.73333333333335,155.1899999999964,0.0
37,2,1383.2263376975468,131.63656424717198,44.73433333332888,4.5,4.133333333333333,171.93333333333334,162.4159999999946,0.0
38,2,1409.1179731186755,95.86818172136223,28.427333333329607,5.5,3.3666666666666667,125.06666666666666,111.27699999999419,0.5
39,2,1404.6598540695993,112.97973339187253,45.01333333332976,6.0,3.9333333333333336,181.6,126.73199999999541,0.5
40,2,1515.758214497956,80.31952627573936,35.16299999999591,5.5,2.8666666666666667,141.76666666666668,94.46299999999454,0.5
41,2,1398.731376302783,132.93939232895846,38.099999999995966,3.0,4.333333333333334,157.86666666666667,161.89499999999535,0.5
42,2,1364.7491612150422,92.77767989896006,30.362999999996774,7.5,3.2333333333333334,133.43333333333334,108.03199999999407,0.5
43,2,1523.2948495549824,69.45295510050435,31.505999999995936,5.5,2.666666666666667,130.2,81.99799999999385,1.0
44,2,1344.5292607759272,163.85573586944096,48.32033333332984,2.5,5.3,201.73333333333335,185.89699999999644,0.0
45,2,1415.4952105738419,140.5125930394572,49.40333333332908,3.5,4.566666666666666,203.13333333333333,169.47199999999563,0.5
46,2,1362.573182626908,159.2012230855036,54.79966666666202,3.0,5.033333333333333,211.13333333333333,188.27599999999603,0.0
47,2,1272.5888157203503,144.4165389739822,41.159666666662474,5.0,4.766666666666667,160.3,158.5959999999945,0.0
48,2,1386.185712311682,164.2403368305356,51.48766666666225,2.0,5.1,201.5,197.8039999999965,0.0
49,2,1441.0177677026982,144.09034430596074,52.92299999999587,2.5,4.666666666666666,207.36666666666667,163.5199999999943,0.0
50,2,1431.2344782889536,152.14163462052917,50.175666666662494,2.5,4.733333333333333,199.76666666666665,185.31399999999493,0.0
51,2,1419.6829709241183,130.97602176078277,56.33033333332942,5.5,4.233333333333333,221.8,150.29999999999512,0.0
52,2,1321.1108031548445,198.88253631508857,72.48433333332855,1.5,6.266666666666667,263.93333333333334,231.18699999999706,0.0
53,2,1371.5513358317319,181.5528015932672,58.91666666666195,1.0,5.733333333333333,226.1,211.11199999999712,0.0
54,2,1269.5106515236128,176.6508049323609,51.25466666666193,3.0,5.833333333333334,198.93333333333334,190.81699999999674,0.0
55,2,1293.586899869408,170.67588969657433,48.826999999995465,3.0,5.333333333333334,186.1,200.9489999999958,0.0
56,2,1212.1481022458076,205.4402176008289,50.83099999999578,1.5,6.466666666666667,209.86666666666667,236.24399999999827,0.0
57,2,1311.2978974217033,152.56716969911037,47.22066666666251,4.0,4.966666666666667,188.60000000000002,170.15499999999645,0.0
58,2,1377.5106118641559,144.00354778212673,48.230666666662785,4.0,4.433333333333334,190.3,174.80399999999378,0.0
59,2,1283.367812955308,207.9036951207915,70.07399999999504,1.0,6.6,264.0333333333333,235.35999999999865,0.0
60,2,1502.4390411480306,136.13526407310252,61.78533333332951,3.5,4.266666666666667,238.8,161.50799999999515,0.0
61,2,1298.1375030560823,180.97079231608117,57.78833333332888,3.0,5.666666666666666,225.66666666666666,212.06799999999674,0.0
62,2,1168.7132271432629,179.58658434961404,40.53166666666284,5.0,5.733333333333333,167.43333333333334,203.7279999999963,0.0
63,2,1172.7462300405384,178.8457043882117,37.934333333329064,4.0,5.633333333333333,152.96666666666667,207.83499999999702,0.0
64,2,1378.012350106182,139.7900391698088,49.964333333328966,5.0,4.433333333333334,191.0,172.44599999999417,0.5
65,2,1241.6248366464965,218.050967603709,74.70099999999545,1.0,7.066666666666666,282.66666666666663,236.01699999999866,0.0
66,2,1249.6512090604363,202.06617312624832,51.97633333332877,1.0,6.4,205.66666666666666,228.99399999999787,0.0
67,2,1339.66389913189,180.12181386607816,61.30099999999552,2.0,5.666666666666666,229.33333333333331,208.33299999999628,0.0
68,2,1152.9507073141417,173.5198775806977,37.43299999999583,5.0,5.466666666666667,148.1,202.2839999999964,0.0
69,2,1288.8206924165936,159.78144135048777,43.114666666662686,3.5,5.199999999999999,175.53333333333333,176.35999999999632,0.0
70,2,1263.025858645546,182.71263120273886,53.56433333332875,3.5,5.533333333333333,200.76666666666665,226.2119999999964,0.0
71,2,1467.5497377967818,171.60913524619409,73.96633333332858,1.5,5.366666666666667,274.7,201.8639999999956,0.0
72,2,1467.6017650834992,171.74307437672795,71.30033333332872,1.5,5.4,270.6,201.87599999999617,0.0
73,2,1282.4196539515149,183.76478578656923,51.87199999999522,2.5,5.833333333333333,200.76666666666665,212.1939999999982,0.0
74,2,1459.011688532975,151.59590042733353,52.85933333332845,1.0,5.0,205.86666666666667,174.4309999999971,0.5
75,2,1499.5216495070895,149.90293995613587,59.142333333328395,1.5,4.766666666666667,227.36666666666667,172.74099999999515,0.0
