Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved
1,1,1890.5550630597504,33.333333333333336,42.52766666666432,9.5,0.0,307.0,100.0,0.0
2,1,1784.6357605173357,33.333333333333336,35.70133333333093,10.0,0.0,215.53333333333333,100.0,0.0
3,1,1753.1018376496402,33.333333333333336,37.035333333330534,10.0,0.0,180.53333333333333,100.0,0.0
4,1,2191.826077167776,33.333333333333336,65.47233333332987,5.0,0.0,352.1333333333333,100.0,0.0
5,1,2032.0038687442227,33.333333333333336,55.569999999996256,6.0,0.0,259.6333333333333,100.0,0.0
6,1,2180.9917057933926,33.333333333333336,67.77366666666329,4.5,0.0,320.3666666666667,100.0,0.0
7,1,2211.3544687633785,33.333333333333336,71.28433333332949,3.5,0.0,298.3333333333333,100.0,0.0
8,1,2187.02847981596,33.333333333333336,66.66766666666229,3.5,0.0,288.1333333333333,100.0,0.0
9,1,2115.650438014112,33.333333333333336,64.1513333333291,4.0,0.0,253.83333333333331,100.0,0.0
10,1,2340.4575523160393,33.333333333333336,85.11299999999541,1.5,0.0,330.3666666666667,100.0,0.0
11,1,2308.9110568503415,33.333333333333336,74.29499999999507,1.5,0.0,309.76666666666665,100.0,0.0
12,1,2302.2637828992133,33.333333333333336,79.92066666666145,1.0,0.0,286.5,100.0,0.0
13,1,2483.8805134148106,33.333333333333336,97.96466666666228,1.0,0.0,453.79999999999995,100.0,0.0
14,1,2379.566772541121,33.333333333333336,85.03266666666102,0.5,0.0,333.1,100.0,0.0
15,1,2397.0905262047963,33.333333333333336,80.50466666666281,1.0,0.0,374.6333333333333,100.0,0.0
16,1,2392.1662090163036,33.333333333333336,89.71433333332891,1.0,0.0,371.1666666666667,100.0,0.0
17,1,2253.8607744871015,33.333333333333336,69.09199999999572,2.5,0.0,294.43333333333334,100.0,0.0
18,1,2246.872755207534,33.333333333333336,67.988333333329,2.0,0.0,276.5,100.0,0.0
19,1,2152.7506063038945,33.333333333333336,73.2063333333296,4.0,0.0,274.8666666666667,100.0,0.0
20,1,2176.73101344274,33.333333333333336,62.64699999999583,2.5,0.0,235.6,100.0,0.0
21,2,1662.1283774428766,144.52367909377804,83.35233333332887,0.5,4.633333333333333,318.3333333333333,166.951999999995,0.0
22,2,1713.4631930969163,136.16201713531672,83.28899999999561,1.0,4.166666666666666,318.2,169.99999999999318,0.0
23,2,1615.5149764243754,119.53559831596831,68.57899999999498,2.0,4.033333333333333,246.83333333333331,139.56799999999487,0.5
24,2,1509.1829611493874,170.3547718439823,72.60933333332818,1.0,5.266666666666667,275.1,205.9689999999964,0.0
25,2,1558.2858814465103,150.39523156796923,73.21399999999497,2.0,4.566666666666666,272.8666666666667,189.95899999999438,0.0
26,2,1650.2983219650625,153.8888255763922,87.15766666666151,0.0,4.933333333333334,324.5333333333333,178.38999999999515,0.0
27,2,1645.2187573099573,158.8684107854379,94.07399999999501,0.5,4.9,327.8333333333333,194.90499999999642,0.0
28,2,1726.1195844980064,133.81572014448844,79.53499999999522,0.5,4.166666666666667,303.6666666666667,164.1889999999949,0.0
29,2,1829.6411930582597,127.9316983997074,96.94966666666122,0.0,4.0,354.33333333333337,156.59499999999383,0.0
30,2,1766.4620680293626,126.40356033231848,82.30099999999437,0.0,3.966666666666667,297.83333333333337,152.7319999999938,0.0
31,2,2022.7459037932745,73.91727525139684,91.19199999999552,0.0,2.666666666666667,352.0,83.99599999999351,0.5
32,2,1909.6602758419479,86.02236641511708,80.64199999999454,0.0,3.0,295.66666666666663,99.99999999999375,0.5
33,2,1931.3559640612389,84.7385677529186,85.45133333332836,0.0,2.966666666666667,308.1666666666667,106.76499999999504,1.0
34,2,1646.585232993151,130.9072143978421,72.20633333332826,1.5,4.133333333333333,261.43333333333334,156.2439999999953,0.0
35,2,1624.4863102831453,161.5895606945005,91.80199999999451,0.0,5.133333333333333,321.6,189.86499999999523,0.0
36,2,1682.0543762271527,134.91530345304744,74.78666666666112,0.0,4.333333333333334,271.4666666666667,168.48599999999612,0.5
37,2,1570.306277924007,167.00184924265392,81.15033333332806,0.5,5.166666666666666,291.29999999999995,204.05699999999547,0.0
38,2,1790.631407841502,122.38304904145026,92.68966666666125,0.0,4.066666666666666,326.56666666666666,147.76999999999472,0.5
39,2,1593.4966018731866,171.63871984950808,89.49799999999414,0.0,5.266666666666667,314.29999999999995,213.92799999999625,0.0
40,2,1708.0544062942915,144.31039270278634,91.64466666666107,0.5,4.5,330.9666666666667,178.88799999999588,0.0
41,2,1593.2089881269978,138.2636533735034,68.29333333332798,1.0,4.5,249.7,168.31899999999604,0.5
42,2,1647.3774711764524,123.90464061357233,64.90166666666204,1.5,3.9000000000000004,244.26666666666665,151.79099999999357,0.0
43,2,1660.3278805175132,142.18511818303895,83.75299999999498,0.5,4.566666666666666,302.26666666666665,166.3619999999949,0.0
44,2,1612.136825486034,138.97867114067415,68.36966666666171,1.0,4.3,249.83333333333331,173.18899999999422,0.0
45,2,1648.2510124213384,128.03759956583667,67.56866666666178,1.0,4.066666666666666,251.43333333333334,155.84299999999516,0.0
46,2,1445.72832460746,188.08713353241393,82.0269999999945,0.5,6.033333333333333,306.8666666666667,214.93799999999757,0.0
47,2,1401.748534452342,184.88394278518783,77.16933333332821,1.0,6.066666666666666,287.3,203.71999999999701,0.0
48,2,1576.6750681755916,169.5044074311559,88.01033333332833,0.5,5.333333333333333,321.66666666666663,200.0819999999952,0.0
49,2,1415.0938090842214,176.60804511645983,73.4876666666616,1.5,5.6,265.1666666666667,205.64599999999734,0.0
50,2,1511.3703086070939,163.4093909938912,57.3966666666615,0.0,5.033333333333333,221.13333333333333,199.52699999999572,0.0
51,2,1302.1667704517956,186.9076675066448,60.71399999999524,2.0,6.0,227.66666666666669,212.2439999999969,0.0
52,2,1635.77627385414,145.4449401738589,80.04766666666147,0.5,4.633333333333334,291.1333333333333,170.5009999999957,0.0
53,2,1402.9698127439026,180.72319340038982,64.9593333333282,1.0,5.7333333333333325,241.56666666666666,208.7389999999969,0.0
54,2,1395.715261351962,192.28640498425656,67.61633333332807,0.5,6.0,251.33333333333331,226.39899999999855,0.0
55,2,1370.8496939306453,208.6771444465955,78.31399999999465,0.0,6.633333333333333,302.3,237.97599999999954,0.0
56,2,1280.5703345579177,207.35468201432678,67.4159999999946,1.0,6.633333333333333,251.13333333333333,235.3809999999989,0.0
57,2,1291.2498438152993,208.58557768230983,72.92333333332846,0.5,6.766666666666667,269.1,230.08299999999787,0.0
